sigma_test,n,expected_same_SG,expected_neighbour_SG,expected_nonneighbour_SG,expected_peripheral,mean_prob_of_observed_category,observed_same_SG,observed_neighbour_SG,observed_nonneighbour_SG,observed_peripheral,excess_same_SG,ratio_same_SG,excess_neighbour_SG,ratio_neighbour_SG,excess_nonneighbour_SG,ratio_nonneighbour_SG,excess_peripheral,ratio_peripheral
60,3536,0.8244529898315022,0.10824219965437197,3.0113717477923266e-5,0.06727469679664796,0.7187510004168729,0.8379524886877828,0.12528280542986425,0.02319004524886878,0.013574660633484163,0.013499498856280656,1.0163738855007847,0.017040605775492282,1.1574303352103397,0.023159931531390857,770.0824471727772,-0.0537000361631638,0.20177958846126728
100,3536,0.6944630352560885,0.2025405912741682,0.0014746789717467648,0.10152169449799649,0.6269116395728926,0.8379524886877828,0.12528280542986425,0.02319004524886878,0.013574660633484163,0.14348945343169428,1.2066192815846295,-0.07725778584430396,0.6185565305291112,0.021715366277122013,15.725487169183712,-0.08794703386451233,0.133711919413954
150,3536,0.5517610325550993,0.2971308816223359,0.012322616178456307,0.1387854696441084,0.5237714885692389,0.8379524886877828,0.12528280542986425,0.02319004524886878,0.013574660633484163,0.2861914561326835,1.5186873288376053,-0.17184807619247167,0.4216418190725231,0.010867429070412472,1.8819092401345792,-0.12521080901062423,0.09781038799158197
