origin_SG,sigma_test,expected_same_SG,expected_neighbour_SG,expected_nonneighbour_SG,expected_peripheral,n_transitions,observed_same_SG,observed_neighbour_SG,observed_nonneighbour_SG,observed_peripheral,excess_same_SG,ratio_same_SG,excess_peripheral,ratio_peripheral
1,60,0.905184449505461,0.022859317310644223,0,0.07195623318389484,222,0.9144144144144144,0.04954954954954955,0.0045045045045045045,0.03153153153153153,0.009229964908953447,1.0101967780312577,-0.04042470165236331,0.4382043102638241
1,100,0.7623619500233386,0.05748617216496783,1.242138689446145e-6,0.18015063567300404,222,0.9144144144144144,0.04954954954954955,0.0045045045045045045,0.03153153153153153,0.15205246439107578,1.1994491781579877,-0.1486191041414725,0.17502869980856023
1,150,0.6436752172575937,0.08593057461716404,3.652737779659925e-4,0.2700289343472764,222,0.9144144144144144,0.04954954954954955,0.0045045045045045045,0.03153153153153153,0.2707391971568207,1.4206146048473278,-0.23849740281574483,0.11677093644705401
2,60,0.6894221607185906,0.17022621769705043,1.9492811999533133e-4,0.14015669346436363,299,0.8662207357859532,0.10033444816053512,0.016722408026755852,0.016722408026755852,0.17679857506736252,1.2564445779971503,-0.12343428543760777,0.11931223271193757
2,100,0.5461931674726539,0.2792977496203301,0.004422782667133554,0.17008630023988247,299,0.8662207357859532,0.10033444816053512,0.016722408026755852,0.016722408026755852,0.32002756831329926,1.5859237855246917,-0.15336389221312663,0.0983171954658975
2,150,0.3863411367578954,0.3879018172649157,0.01933119514274719,0.20642585083444176,299,0.8662207357859532,0.10033444816053512,0.016722408026755852,0.016722408026755852,0.47987959902805777,2.242113648717608,-0.18970344280768592,0.08100927262335765
3,60,0.7859832748002644,0.2140167251997356,0,0,167,0.8622754491017964,0.10179640718562874,0.03592814371257485,0,0.07629217430153201,1.0970659004428809,0,NA
3,100,0.5679230290384735,0.4304858050762258,0.001573644969469601,1.7520915831207066e-5,167,0.8622754491017964,0.10179640718562874,0.03592814371257485,0,0.29435242006332296,1.5182963271654588,-1.7520915831207066e-5,0
3,150,0.37315446029904586,0.5975987424943296,0.026604390132395482,0.0026424070742289934,167,0.8622754491017964,0.10179640718562874,0.03592814371257485,0,0.48912098880275057,2.3107735290388036,-0.0026424070742289934,0
4,60,0.9336327735527298,9.155043171497602e-4,0,0.06545172213012039,385,0.948051948051948,0.01818181818181818,0.02857142857142857,0.005194805194805195,0.014419174499218257,1.015444160603263,-0.060256916935315194,0.07936850285585663
4,100,0.8682235926429951,0.014721279452048906,0,0.11705512790495605,385,0.948051948051948,0.01818181818181818,0.02857142857142857,0.005194805194805195,0.07982835540895294,1.091944466938458,-0.11186032271015085,0.04437913389854362
4,150,0.7630309362723707,0.06656110242657312,4.418857491430383e-5,0.1703637727261418,385,0.948051948051948,0.01818181818181818,0.02857142857142857,0.005194805194805195,0.1850210117795773,1.2424816648764716,-0.1651689675313366,0.030492428711095733
5,60,0.4352703034305346,0,0,0.5647296965694654,154,0.9090909090909091,0.045454545454545456,0,0.045454545454545456,0.4738206056603745,2.088566350440198,-0.51927515111492,0.08048902993886431
5,100,0.2930534559644393,0.0047028269406942545,0,0.7022437170948663,154,0.9090909090909091,0.045454545454545456,0,0.045454545454545456,0.6160374531264697,3.1021333841605436,-0.6567891716403209,0.06472759292541308
