tattoo,primary,primary_year,SG_id,zone,Sett_Clean,x,y,n_loc_obs,entry_group
015C,41,2016,22,1,WOODFARM,383337,200429,2,1
015C,42,2017,22,1,WOODFARM,383337,200429,4,1
015C,43,2018,22,1,WOODFARM,383337,200429,4,1
015C,44,2019,22,1,WOODFARM,383337,200429,2,1
015E,38,2013,10,1,HUNTINGGATE,381247,201345,2,1
015E,39,2014,10,1,HUNTINGGATE,381247,201345,2,1
015F,35,2010,8,1,HONEYWELL,381931,201706,1,1
015G,28,2003,15,1,WYCHELM,382074,201085,3,1
015G,29,2004,15,1,WYCHELM,382074,201085,1,1
015K,37,2012,15,1,POPLAR,382132,201047,1,1
015L,36,2011,3,1,BEECH,380931,201164,1,1
015L,37,2012,3,1,CHESNUT,380834,201150,2,1
015M,43,2018,22,1,WOODFARM,383337,200429,3,1
015M,44,2019,22,1,WOODFARM,383337,200429,1,1
015N,34,2009,4,1,MEAD,380390,200637,2,1
