interval_col,tattoo,from_year,to_year,from_primary,to_primary,from_detector_name,to_detector_name,from_x,from_y,to_x,to_y,observed_endpoint_distance_m,has_origin_xy,has_destination_xy
55,003A,2015,2016,40,41,40,41,381314,201301,380936,199687,1657.6730678876338,TRUE,TRUE
56,003A,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
57,003A,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
58,003A,2018,2019,43,44,43,44,381016,201635,382420,201405,1422.7143072310757,TRUE,TRUE
59,003N,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
60,003N,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
61,003N,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
62,004A,2014,2015,39,40,39,40,380906,200398,381314,201301,990.8950499422227,TRUE,TRUE
63,004A,2015,2016,40,41,40,41,381314,201301,380936,199687,1657.6730678876338,TRUE,TRUE
64,004C,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
65,004C,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
66,004W,2005,2006,30,31,30,31,382931,200706,380649,201388,2381.7321427902007,TRUE,TRUE
67,004W,2006,2007,31,32,31,32,380649,201388,380279,201409,370.59546678285204,TRUE,TRUE
68,005C,2016,2017,41,42,41,42,380936,199687,382786,200771,2144.191222815726,TRUE,TRUE
69,005C,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
70,005L,2011,2012,36,37,36,37,381314,201015,383237,202222,2270.4136187047507,TRUE,TRUE
71,005L,2012,2013,37,38,37,38,383237,202222,382076,201048,1651.119922961382,TRUE,TRUE
72,005L,2013,2014,38,39,38,39,382076,201048,380906,200398,1338.43191832831,TRUE,TRUE
73,005N,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
74,005N,2010,2011,35,36,35,36,383135,202599,381314,201015,2413.523772412445,TRUE,TRUE
75,005P,2008,2009,33,34,33,34,382399,200920,383126,200958,727.9924450157433,TRUE,TRUE
76,005P,2009,2010,34,35,34,35,383126,200958,383135,202599,1641.0246798875392,TRUE,TRUE
77,005T,2017,2018,42,43,42,43,382786,200771,381016,201635,1969.6182371210925,TRUE,TRUE
