type,name,median,q025,q975,probability_positive
coefficient,alpha,-3.224720425309468,-3.571732604827524,-2.912872194282399,0
coefficient,beta_inf,0.07383161928115997,-0.41364453928232964,0.5188239150924313,0.6216733333333333
coefficient,beta_sex,1.594855016731071,1.212763599834169,1.969606134853618,1
coefficient,beta_adult,-0.024285300714007335,-0.6423703451692323,0.5107622970009362,0.46652
derived,OR_infection,1.0766255072589939,0.6612359529201934,1.6800506051800308,NA
derived,OR_male,4.9276145986551185,3.362765160086847,7.16785276504371,NA
derived,OR_adult_entry,0.9760072144771811,0.5260440391297407,1.666561125400312,NA
