type,name,median,q025,q975,probability_positive
coefficient,alpha,-3.3291097058753243,-3.606105480938057,-3.077641051119191,0
coefficient,beta_inf,0.12409383226604362,-0.31484186849183315,0.5448513710648991,0.7128
coefficient,beta_sex,1.537299002513735,1.1538355618374618,1.8959486034787014,1
derived,OR_infection,1.1321220955971179,0.7299043018599448,1.724352102173757,NA
derived,OR_male,4.652008227813404,3.1703296539873813,6.65886203339258,NA
derived,p_F_uninfected,0.034585944691124706,0.02643938155506709,0.04403901955060285,NA
derived,p_F_infected,0.03892462058355758,0.024324621807372413,0.06004671545840432,NA
derived,p_M_uninfected,0.14688411026595435,0.09902517977103187,0.17757707812667425,NA
derived,p_M_infected,0.16093443066812316,0.09609737897851513,0.23097578968016888,NA
derived,risk_difference_F,0.004405468715290874,-0.00956360140935815,0.023115937602233468,NA
derived,risk_difference_M,0.015855375310883504,-0.03646094932694542,0.07887891236947629,NA
