draw,v7a_total_transitions,v7a_susceptible_origins,v7a_infected_origins,v7a_prop_origins_infected,v7a_badgers_with_infected_origin,v7b_risk_quarters,v7b_badgers_at_risk,v7b_infection_events
475,4382,3808,574,0.13099041533546327,259,13674,1142,175
476,4382,3815,567,0.12939297124600638,252,13677,1145,176
477,4382,3822,560,0.12779552715654952,244,13690,1146,169
478,4382,3820,562,0.1282519397535372,251,13711,1144,173
479,4382,3823,559,0.1275673208580557,246,13686,1141,171
480,4382,3822,560,0.12779552715654952,242,13695,1146,179
481,4382,3821,561,0.12802373345504336,246,13723,1145,171
482,4382,3825,557,0.127110908261068,245,13720,1149,178
483,4382,3840,542,0.12368781378366044,236,13750,1151,172
484,4382,3830,552,0.1259698767685988,243,13728,1147,165
485,4382,3844,538,0.12277498858968508,242,13788,1145,171
486,4382,3842,540,0.12323140118667275,242,13778,1152,175
487,4382,3785,597,0.13623916020082155,266,13570,1138,178
488,4382,3827,555,0.12665449566408032,250,13730,1147,179
489,4382,3841,541,0.12345960748516659,245,13765,1150,176
490,4382,3801,581,0.13258785942492013,261,13628,1142,174
491,4382,3829,553,0.12619808306709265,249,13727,1143,165
492,4382,3828,554,0.1264262893655865,240,13728,1145,158
493,4382,3815,567,0.12939297124600638,252,13684,1135,162
494,4382,3849,533,0.12163395709721589,244,13793,1149,170
495,4382,3853,529,0.12072113190324053,237,13821,1153,178
496,4382,3858,524,0.11958010041077134,238,13831,1155,167
497,4382,3857,525,0.11980830670926518,242,13841,1144,165
498,4382,3838,544,0.1241442263806481,249,13782,1145,169
499,4382,3828,554,0.1264262893655865,252,13739,1155,183
500,4382,3808,574,0.13099041533546327,250,13655,1139,164
