draw,v7a_total_transitions,v7a_susceptible_origins,v7a_infected_origins,v7a_prop_origins_infected,v7a_badgers_with_infected_origin,v7b_risk_quarters,v7b_badgers_at_risk,v7b_infection_events
117,4382,3822,560,0.12779552715654952,254,13697,1141,173
118,4382,3832,550,0.12551346417161113,246,13746,1142,159
119,4382,3829,553,0.12619808306709265,245,13767,1145,156
120,4382,3818,564,0.12870835235052488,249,13706,1144,172
121,4382,3825,557,0.127110908261068,249,13682,1150,178
122,4382,3843,539,0.12300319488817892,236,13778,1152,169
123,4382,3796,586,0.13372889091738932,261,13633,1134,164
124,4382,3815,567,0.12939297124600638,247,13655,1146,188
125,4382,3857,525,0.11980830670926518,237,13825,1152,172
126,4382,3811,571,0.13030579643998175,250,13678,1135,155
127,4382,3811,571,0.13030579643998175,250,13675,1141,174
128,4382,3810,572,0.13053400273847557,256,13658,1140,170
129,4382,3837,545,0.12437243267914194,240,13757,1150,168
130,4382,3854,528,0.1204929256047467,231,13806,1153,171
131,4382,3824,558,0.12733911455956184,249,13713,1140,163
132,4382,3837,545,0.12437243267914194,240,13763,1143,165
133,4382,3826,556,0.12688270196257417,256,13730,1139,158
134,4382,3828,554,0.1264262893655865,248,13721,1146,169
135,4382,3851,531,0.1211775445002282,231,13802,1153,170
136,4382,3838,544,0.1241442263806481,244,13775,1151,181
137,4382,3828,554,0.1264262893655865,255,13750,1137,163
138,4382,3817,565,0.1289365586490187,249,13673,1142,167
139,4382,3833,549,0.1252852578731173,245,13755,1149,179
140,4382,3850,532,0.12140575079872204,245,13803,1148,165
141,4382,3836,546,0.12460063897763578,251,13772,1146,176
142,4382,3796,586,0.13372889091738932,260,13611,1144,175
143,4382,3796,586,0.13372889091738932,261,13605,1145,177
144,4382,3812,570,0.1300775901414879,252,13668,1141,160
145,4382,3838,544,0.1241442263806481,239,13751,1151,172
146,4382,3822,560,0.12779552715654952,249,13722,1142,170
147,4382,3774,608,0.13874942948425376,264,13530,1141,173
148,4382,3816,566,0.12916476494751256,253,13684,1144,170
149,4382,3814,568,0.12962117754450023,251,13678,1138,166
150,4382,3797,585,0.13350068461889547,258,13614,1137,168
151,4382,3816,566,0.12916476494751256,246,13702,1148,172
152,4382,3806,576,0.13144682793245094,251,13653,1149,176
153,4382,3804,578,0.1319032405294386,252,13636,1136,163
154,4382,3816,566,0.12916476494751256,256,13700,1137,164
155,4382,3805,577,0.1316750342309448,254,13643,1149,180
156,4382,3808,574,0.13099041533546327,257,13666,1145,179
157,4382,3855,527,0.12026471930625285,236,13820,1151,184
158,4382,3803,579,0.13213144682793246,252,13626,1148,163
159,4382,3836,546,0.12460063897763578,248,13752,1150,170
160,4382,3829,553,0.12619808306709265,242,13735,1146,163
161,4382,3826,556,0.12688270196257417,250,13752,1143,171
162,4382,3819,563,0.12848014605203104,246,13697,1144,160
163,4382,3806,576,0.13144682793245094,240,13643,1152,183
164,4382,3762,620,0.14148790506617984,271,13501,1129,171
165,4382,3812,570,0.1300775901414879,254,13680,1152,166
166,4382,3838,544,0.1241442263806481,248,13751,1144,171
167,4382,3805,577,0.1316750342309448,251,13642,1142,171
168,4382,3818,564,0.12870835235052488,250,13706,1144,171
169,4382,3828,554,0.1264262893655865,249,13725,1145,174
170,4382,3818,564,0.12870835235052488,249,13673,1146,176
171,4382,3833,549,0.1252852578731173,238,13733,1142,163
172,4382,3817,565,0.1289365586490187,250,13684,1145,174
173,4382,3824,558,0.12733911455956184,250,13698,1146,175
174,4382,3822,560,0.12779552715654952,253,13685,1146,179
175,4382,3811,571,0.13030579643998175,255,13686,1146,177
176,4382,3810,572,0.13053400273847557,253,13675,1136,170
177,4382,3829,553,0.12619808306709265,263,13745,1148,194
178,4382,3809,573,0.13076220903696942,267,13654,1140,187
179,4382,3822,560,0.12779552715654952,249,13705,1150,168
180,4382,3820,562,0.1282519397535372,253,13691,1142,180
181,4382,3809,573,0.13076220903696942,245,13654,1143,167
182,4382,3782,600,0.13692377909630304,264,13588,1136,167
183,4382,3801,581,0.13258785942492013,256,13616,1145,174
184,4382,3819,563,0.12848014605203104,253,13709,1144,177
185,4382,3804,578,0.1319032405294386,264,13644,1139,176
186,4382,3820,562,0.1282519397535372,254,13716,1137,168
187,4382,3802,580,0.13235965312642628,262,13653,1141,175
188,4382,3794,588,0.134185303514377,265,13618,1135,179
189,4382,3816,566,0.12916476494751256,252,13657,1148,176
190,4382,3837,545,0.12437243267914194,244,13762,1149,174
191,4382,3820,562,0.1282519397535372,248,13710,1145,171
192,4382,3817,565,0.1289365586490187,254,13687,1141,174
193,4382,3837,545,0.12437243267914194,242,13728,1147,175
194,4382,3840,542,0.12368781378366044,244,13782,1148,167
195,4382,3823,559,0.1275673208580557,247,13705,1143,171
196,4382,3842,540,0.12323140118667275,233,13776,1146,157
197,4382,3823,559,0.1275673208580557,253,13707,1145,173
198,4382,3820,562,0.1282519397535372,257,13706,1144,170
199,4382,3815,567,0.12939297124600638,246,13656,1145,168
200,4382,3801,581,0.13258785942492013,251,13636,1140,170
201,4382,3797,585,0.13350068461889547,259,13618,1135,168
202,4382,3834,548,0.12505705157462346,251,13758,1146,174
203,4382,3810,572,0.13053400273847557,253,13657,1135,164
204,4382,3828,554,0.1264262893655865,248,13739,1142,163
205,4382,3811,571,0.13030579643998175,252,13655,1141,165
206,4382,3833,549,0.1252852578731173,254,13756,1139,170
207,4382,3833,549,0.1252852578731173,246,13724,1152,186
208,4382,3821,561,0.12802373345504336,245,13713,1144,167
209,4382,3818,564,0.12870835235052488,250,13699,1141,172
210,4382,3782,600,0.13692377909630304,266,13584,1138,169
211,4382,3841,541,0.12345960748516659,243,13779,1147,168
212,4382,3836,546,0.12460063897763578,241,13735,1151,174
213,4382,3803,579,0.13213144682793246,257,13638,1136,177
214,4382,3824,558,0.12733911455956184,247,13713,1151,175
215,4382,3826,556,0.12688270196257417,254,13704,1145,176
216,4382,3819,563,0.12848014605203104,250,13676,1143,178
217,4382,3830,552,0.1259698767685988,239,13735,1147,169
218,4382,3827,555,0.12665449566408032,245,13731,1142,161
219,4382,3807,575,0.1312186216339571,254,13680,1138,166
220,4382,3819,563,0.12848014605203104,248,13691,1140,174
221,4382,3823,559,0.1275673208580557,255,13713,1148,170
222,4382,3823,559,0.1275673208580557,250,13734,1140,169
223,4382,3812,570,0.1300775901414879,250,13677,1139,164
224,4382,3776,606,0.13829301688726608,265,13562,1132,163
225,4382,3806,576,0.13144682793245094,250,13655,1142,171
226,4382,3819,563,0.12848014605203104,247,13676,1145,172
227,4382,3842,540,0.12323140118667275,235,13763,1149,172
228,4382,3820,562,0.1282519397535372,248,13700,1146,179
229,4382,3802,580,0.13235965312642628,256,13640,1140,166
230,4382,3823,559,0.1275673208580557,251,13727,1141,175
231,4382,3822,560,0.12779552715654952,248,13710,1141,169
232,4382,3808,574,0.13099041533546327,263,13660,1140,178
233,4382,3790,592,0.13509812870835236,262,13610,1133,171
234,4382,3840,542,0.12368781378366044,251,13762,1147,172
235,4382,3821,561,0.12802373345504336,255,13685,1142,172
236,4382,3839,543,0.12391602008215427,239,13754,1151,177
237,4382,3788,594,0.13555454130534003,259,13582,1137,162
238,4382,3833,549,0.1252852578731173,249,13766,1148,176
239,4382,3832,550,0.12551346417161113,242,13728,1148,164
240,4382,3840,542,0.12368781378366044,245,13769,1146,166
241,4382,3808,574,0.13099041533546327,250,13660,1146,172
242,4382,3820,562,0.1282519397535372,255,13714,1139,162
243,4382,3841,541,0.12345960748516659,246,13754,1146,175
244,4382,3805,577,0.1316750342309448,262,13648,1135,170
245,4382,3841,541,0.12345960748516659,245,13778,1140,169
246,4382,3848,534,0.12186216339570972,235,13798,1152,174
247,4382,3826,556,0.12688270196257417,253,13740,1143,171
248,4382,3825,557,0.127110908261068,251,13710,1142,171
249,4382,3819,563,0.12848014605203104,247,13702,1145,176
250,4382,3821,561,0.12802373345504336,250,13693,1147,181
251,4382,3828,554,0.1264262893655865,246,13720,1145,172
252,4382,3820,562,0.1282519397535372,247,13702,1147,169
253,4382,3832,550,0.12551346417161113,242,13747,1145,158
254,4382,3814,568,0.12962117754450023,255,13686,1143,169
255,4382,3815,567,0.12939297124600638,241,13677,1137,158
