metric,usable_intervals,total_intervals,usable_pct
samegroup,3346,4382,76.35782747603834
radius_500m,3308,4382,75.49064354176176
radius_1000m,3313,4382,75.60474669100867
radius_2000m,3313,4382,75.60474669100867
exp_500m,3313,4382,75.60474669100867
exp_1000m,3313,4382,75.60474669100867
