type,name,median,q025,q975,probability_positive
coefficient,beta_move_within,0.12484730675772787,-1.0949519147983588,1.1604644533645414,0.592
coefficient,beta_move_between,-0.8426265825682968,-3.371529033153668,1.430456604035001,0.231
coefficient,beta_sex,0.5056838296351343,-0.17185093971671725,1.0822303976635004,0.93
coefficient,beta_adult,0.27746826227814636,-1.1155116373259395,1.4009474380310354,0.707
derived,OR_within_high_vs_local,1.1329754421974334,0.3345566669490995,3.1914152702452765,NA
derived,OR_between_mobility_mean,0.43057809677487713,0.03433709471308109,4.180607921407682,NA
derived,OR_male,1.658119015007879,0.8421047108648181,2.9512547546984527,NA
derived,OR_adult_entry,1.319784281922439,0.32774765069702994,4.059048454833497,NA
