tattoo,year,n_year_encounters,n_distinct_setts,n_distinct_socg,annual_socg,annual_sett,annual_x,annual_y,annual_sett_n_encounters,annual_sett_latest_date,has_annual_xy,in_infection_model,in_phase2
001U,2026,2,1,1,PARKMILL,PARKMILL,383730,200924,2,2026-08-11,TRUE,TRUE,FALSE
001V,2015,1,1,1,HONEYWELL,HONEYWELL,381931,201706,1,2015-01-27,TRUE,TRUE,FALSE
001W,2005,2,1,1,WOODRUSH,FORK,382786,200771,2,2005-06-07,TRUE,TRUE,FALSE
001X,2025,1,1,1,BEECH,BEECH,380931,201164,1,2025-05-20,TRUE,TRUE,FALSE
001Y,2007,1,1,1,WOODRUSH,FORK,382786,200771,1,2007-01-09,TRUE,TRUE,FALSE
001Z,2019,4,1,1,KENNEL,KENNEL,382464,200922,4,2019-11-19,TRUE,TRUE,TRUE
001Z,2020,2,1,1,KENNEL,KENNEL,382464,200922,2,2020-10-06,TRUE,TRUE,TRUE
001Z,2021,2,2,2,TOP,TOP,381795,200962,1,2021-10-06,TRUE,TRUE,TRUE
001Z,2022,2,2,1,YEW,YEW,381619,201268,1,2022-06-15,TRUE,TRUE,TRUE
002A,2014,5,2,2,CEDAR,CEDAR,381022,201589,4,2014-12-10,TRUE,TRUE,TRUE
002A,2015,4,2,2,CEDAR,CEDAR,381022,201589,3,2015-10-13,TRUE,TRUE,TRUE
002A,2017,1,1,1,BOXWOOD,BOXWOOD,381241,201774,1,2017-09-05,TRUE,TRUE,TRUE
002A,2018,1,1,1,BOXWOOD,BULLPEN,381230,201693,1,2018-06-26,TRUE,TRUE,TRUE
002B,2006,4,1,1,HEDGE,HEDGE,381350,200278,4,2006-12-12,TRUE,TRUE,TRUE
002B,2007,1,1,1,HEDGE,HEDGE,381350,200278,1,2007-05-08,TRUE,TRUE,TRUE
002B,2008,1,1,1,HEDGE,HEDGE,381350,200278,1,2008-05-07,TRUE,TRUE,TRUE
002C,2016,4,1,1,PARKMILL,PARKMILL,383730,200924,4,2016-10-18,TRUE,TRUE,FALSE
002D,2022,1,1,1,ARTHURS,MEAD,380390,200637,1,2022-05-25,TRUE,TRUE,FALSE
002E,2013,3,2,1,BEECH,BEECH,380931,201164,2,2013-07-16,TRUE,TRUE,FALSE
002E,2014,1,1,1,BEECH,CHESNUT,380834,201150,1,2014-08-12,TRUE,TRUE,FALSE
002F,2010,3,1,1,INCHBROOK,INCHBROOK,384013,200739,3,2010-11-30,TRUE,TRUE,TRUE
002F,2012,1,1,1,INCHBROOK,INCHBROOK,384013,200739,1,2012-06-27,TRUE,TRUE,TRUE
002G,2003,1,1,1,OLDOAK,OLDOAK,382624,201274,1,2003-01-22,TRUE,TRUE,TRUE
002G,2005,3,1,1,OLDOAK,OLDOAK,382624,201274,3,2005-10-11,TRUE,TRUE,TRUE
002G,2007,2,1,1,NETTLE,NETTLE,383024,201142,2,2007-09-11,TRUE,TRUE,TRUE
