type,name,median,q025,q975,probability_positive
coefficient,alpha,-3.3261992852844076,-3.617543515699023,-3.0628371571867996,0
coefficient,beta_inf,0.11302261024984223,-0.346960941645851,0.5289403845273959,0.6918266666666667
coefficient,beta_sex,1.5403052129785428,1.162548710851411,1.908898880791689,1
derived,OR_infection,1.119657248402539,0.7068329354517483,1.6971330471014772,NA
derived,OR_male,4.666014181779161,3.1980738633002033,6.745656935176039,NA
derived,p_F_uninfected,0.034683254655790904,0.02614655162898042,0.04466648109912424,NA
derived,p_F_infected,0.03866406715646753,0.023491262934134068,0.058895488310810803,NA
derived,p_M_uninfected,0.14699326691788997,0.10102098923876679,0.17988300352291733,NA
derived,p_M_infected,0.15921536458835617,0.09488558441555163,0.22942396405208873,NA
derived,risk_difference_F,0.003945712797435327,-0.010362916413279903,0.02211297192306014,NA
derived,risk_difference_M,0.014293030273669745,-0.03871998334816245,0.07646897893230643,NA
