metric,finite_values,mean,sd,q025,median,q975,min,max
samegroup_prev,1673000,0.12242366793362922,0.1967792822545887,0,0,0.6666666666666666,0,1
samegroup_prev_smooth,1673000,0.1651484090299876,0.16972658671124644,0.023809523809523808,0.08333333333333333,0.6428571428571429,0.016129032258064516,0.9444444444444444
radius500_prev,1654000,0.12467712862483893,0.13541389086158018,0,0.08823529411764706,0.47619047619047616,0,1
radius1000_prev,1656500,0.12511894341769864,0.1125971162726833,0,0.09859154929577464,0.39622641509433965,0,1
radius2000_prev,1656500,0.1223989586003354,0.09647596330376457,0.006097560975609756,0.0962962962962963,0.3543307086614173,0,0.6271186440677966
exp500_prev,1656500,0.12268965570783086,0.10721448318236267,0.0032273855196198347,0.09972363404467298,0.3873906683322438,0,0.7482251734157442
exp1000_prev,1656500,0.12350158948721061,0.09823714290990142,0.013203300044834465,0.09817355592271522,0.3583564599283148,0,0.6210946692524596
