movement_type,n,n_badgers,median_distance_m,mean_distance_m,q25_distance_m,q75_distance_m,q90_distance_m,q95_distance_m,max_distance_m,median_gap_q
SG unassigned,77,47,205.50669088864237,496.34409855462945,59.21148537234985,539.570199325352,716.301612451068,1654.2631742793055,3800.8079404252985,2
core -> peripheral,121,104,314.97301471713416,637.516507254729,275.4850268163408,764.4932962426813,1445.3113851347052,2069.8408151353087,3552.912326528759,2
different SG,1177,480,353.0042492662093,439.5118672587307,280.6920020235703,491.49262456317695,689.6929893852001,849.3091315027832,3138.5966609298493,2
different peripheral sett,142,102,332.06324698767855,502.3166891429251,191.9505144562004,464.2251608863957,860.3348185445013,1703.4212037758923,3423.56919018734,3
"different sett, same SG",2133,785,169.49926253526885,171.41953492505831,98.00510190801293,191.08375127153016,297.1363323459452,374.38515000197026,754.5873044254058,1
peripheral -> core,131,111,338.10353443878694,666.0696838888867,314.97301471713416,791.3303040203541,1445.3113851347052,1759.6047851719431,3639.370962130681,3
same sett,7169,1959,0,0,0,0,0,0,0,1
