movement_type,n,n_badgers,proportion,median_distance_m,mean_distance_m,q25_distance_m,q75_distance_m,q90_distance_m,q95_distance_m,max_distance_m
SG unassigned,36,25,0.005908419497784343,200.26744698866196,471.64672693437853,59.21148537234985,477.4033933687527,879.644304725615,1985.3351287163628,3800.8079404252985
core -> peripheral,49,44,0.0080420154275398,314.97301471713416,608.3207414839104,275.4850268163408,764.4932962426813,1193.6334240352908,1445.3113851347052,2926.143708022557
different SG,565,297,0.09272936156244871,352.2002271435951,419.25862520470844,264.43902888945877,447.93079822669034,652.8562553558404,807.5566970373192,2825.5254378610716
different peripheral sett,46,36,0.007549647136057771,267.5256997000475,371.0074139624444,65.76473218982953,390.5547336801847,559.7792725041468,825.6459932702915,3423.56919018734
"different sett, same SG",1235,609,0.2026916133267684,168.24089871371942,163.93393489305424,98.00510190801293,191.08375127153016,288.76212460098935,320.76539150578725,469.945741548958
peripheral -> core,44,41,0.007221401608403085,314.97301471713416,675.5360181501908,273.82658746002005,989.6593916316194,1445.3113851347052,1712.460775166358,3552.912326528759
same sett,4118,1593,0.6758575414409979,0,0,0,0,0,0,0
