previous_sett,Sett_Clean,movement_type,n,n_badgers,median_distance_m,median_gap_q
WOODRUSH,HOGARTHS,core -> peripheral,2,2,560.6353538620268,3
YEW,HEDGE,core -> peripheral,2,2,1025.8952188211035,1
ARTHURS,GULLY,core -> peripheral,1,1,2800.5872598439064,11
ARTHURS,WASPNEST,core -> peripheral,1,1,688.3552861713201,1
ATCOMBECORNER,BOUNDARYCOURT,different peripheral sett,1,1,1061.5083607772478,7
ATCOMBECORNER,NETTLE,peripheral -> core,1,1,762.3542483648923,7
ATCOMBECORNER,OLDOAK,peripheral -> core,1,1,1095.9781019710201,23
ATCOMBECORNER,PRIORY,different peripheral sett,1,1,575.8280993491027,3
ATCOMBEWEST,BOUNDARY,peripheral -> core,1,1,2926.143708022557,4
ATCOMBEWEST,DAM,peripheral -> core,1,1,522.1896207317798,6
ATCOMBEWEST,HOLLOWTREE,peripheral -> core,1,1,454.2092029010421,4
BAMBOO,BOUNDARYCOURT,different peripheral sett,1,1,866.87542357596,2
BAMBOO,PARKMILL,peripheral -> core,1,1,926.5187531831183,3
BEECH,HEDGE,core -> peripheral,1,1,980.0800987674426,1
BENCH,BOXER,peripheral -> core,1,1,190.05525512334563,1
BENCH,CEDAR,peripheral -> core,1,1,613.3726436677788,2
BOUNDARY,ATCOMBEWEST,core -> peripheral,1,1,2926.143708022557,1
BOUNDARYCOURT,DINGLE,different peripheral sett,1,1,321,5
BOUNDARYCOURT,HONEYWELL,peripheral -> core,1,1,1111.9716723010529,14
BUNGALOW,BAMBOO,different peripheral sett,1,1,860.3348185445013,3
BUNGALOW,HOGARTHS,different peripheral sett,1,1,2856.2130522774382,3
BUNGALOW,OLDOAK,peripheral -> core,1,1,1779.521564915694,9
CEDAR,BENCH,core -> peripheral,1,1,613.3726436677788,1
CLAY,WASPNEST,core -> peripheral,1,1,645.0310070066399,1
CORRAL,BENCH,core -> peripheral,1,1,159.0125781188394,1
DARKWOOD,BAMBOO,different peripheral sett,1,1,937.6017278141077,12
DINGLE,BOUNDARYCOURT,different peripheral sett,1,1,321,4
DINGLE,LISTERS,different peripheral sett,1,1,526.4076367227208,2
DINGLE,STREAM,different peripheral sett,1,1,435.98394465851607,2
DINGLE,TOPOAK,peripheral -> core,1,1,933.5148632989193,14
DINGLE,WINDSOREDGE,different peripheral sett,1,1,1737.2060902495132,1
HEDGE,BEECH,peripheral -> core,1,1,980.0800987674426,1
HEDGE,FIELDFARM,different peripheral sett,1,1,721.5795174476615,1
HEDGE,LAURELS,peripheral -> core,1,1,1092.309937700834,2
HEDGE,OPEN,peripheral -> core,1,1,555.6662667465067,3
HEDGE,SAPLING,peripheral -> core,1,1,821.0852574489448,3
HEDGE,TAXUS,peripheral -> core,1,1,1018.3972702241498,1
HEDGE,YEW,peripheral -> core,1,1,1025.8952188211035,1
HOGARTHS,OLDOAK,peripheral -> core,1,1,1221.0036854981233,27
HOLLYWOOD,FIELDFARM,different peripheral sett,1,1,464.2251608863957,5
HONEYWELL,WINDSOREDGE,core -> peripheral,1,1,2069.8408151353087,3
INCHBROOK,ATCOMBEWEST,different peripheral sett,1,1,930.9822769526819,12
INCHBROOK,HOPPER,different peripheral sett,1,1,437.2241987813575,9
INCHBROOK,PRIORY,different peripheral sett,1,1,420.5948168962618,6
INCHBROOK,WOODFARM,peripheral -> core,1,1,743.6907959629459,2
JACOBS,BENCH,core -> peripheral,1,1,92.02716990106781,3
JUNCTION,HEDGE,core -> peripheral,1,1,531.7866113395485,2
LISTERS,BAMBOO,different peripheral sett,1,1,278.5121182282739,4
LISTERS,CARPARK,peripheral -> core,1,1,3639.370962130681,2
LISTERS,DINGLE,different peripheral sett,1,1,526.4076367227208,1
LISTERS,WOODFARM,peripheral -> core,1,1,1313.3659048414497,1
OLDOAK,BUNGALOW,core -> peripheral,1,1,1779.521564915694,3
PARKMILL,ATCOMBECORNER,core -> peripheral,1,1,578.9991364414976,2
PARKMILL,BAMBOO,core -> peripheral,1,1,926.5187531831183,1
PYLON,PYLON,same sett,1,1,0,1
SAPLING,HEDGE,core -> peripheral,1,1,821.0852574489448,1
SCOTLANDBANK,WINDSOREDGE,core -> peripheral,1,1,457.961788799022,2
STREAM,DINGLE,different peripheral sett,1,1,435.98394465851607,1
STREAM,JACKSMIREY,SG unassigned,1,1,3800.8079404252985,1
TAXUS,HEDGE,core -> peripheral,1,1,1018.3972702241498,1
TOP,HEDGE,core -> peripheral,1,1,816.0153184836666,4
TOPOAK,ATCOMBEWEST,core -> peripheral,1,1,766.6452895570415,2
TOPOAK,BAMBOO,core -> peripheral,1,1,1130.7139337604362,1
WEST,WINDSOREDGE,core -> peripheral,1,1,3552.912326528759,2
WINDSOREDGE,BOX,peripheral -> core,1,1,3139.280172268796,3
WINDSOREDGE,HONEYWELL,peripheral -> core,1,1,2069.8408151353087,5
WINDSOREDGE,SCOTLANDBANK,peripheral -> core,1,1,457.961788799022,1
WINDSOREDGE,WEST,peripheral -> core,1,1,3552.912326528759,1
WOODFARM,INCHBROOK,core -> peripheral,1,1,743.6907959629459,4
