Sett_original,Sett_Clean,x,y,SG_id,spatial_class
PEN.(NEEDS.RENAME),PENNEEDSRENAME,382413,200651,16,core
PLANTATION,PLANTATION,381649,201342,13,core
POND,POND,383026,200802,19,core
PONTINS,PONTINS,382122,200921,15,core
POPLAR,POPLAR,382132,201047,15,core
PRIORY,PRIORY,384143,201139,999,peripheral
PUDDLES,PUDDLES,382779,200661,16,core
PUFFBALL,PUFFBALL,381532,201077,11,core
PYLON,PYLON,381275,200279,999,peripheral
QUARRY,QUARRY,383188,201092,18,core
RABBIT,RABBIT,380856,201662,6,core
RUSTY.TRAP,RUSTYTRAP,381281,201324,10,core
SANDY,SANDY,383812,200913,999,peripheral
SAPLING,SAPLING,381716,201013,12,core
SCOTLAND.BANK,SCOTLANDBANK,383412,200931,20,core
SCRUB,SCRUB,383045,200620,21,core
SEDGE,SEDGE,382706,200584,16,core
SELSLEY,SELSLEY,383749,203824,999,peripheral
SEPTIC.TANK,SEPTICTANK,381357,201285,10,core
SINGLE,SINGLE,380737,200025,999,peripheral
SLIP,SLIP,380437,200628,4,core
SPRING,SPRING,382317,200560,16,core
SPUR,SPUR,379972,201378,1,core
STEEP.BANK,STEEPBANK,381515,201745,8,core
STINGER,STINGER,383066,201113,18,core
STONE.DRAIN,STONEDRAIN,380305,200631,4,core
STONEY.TRACK,STONEYTRACK,380742,201140,3,core
STREAM,STREAM,383608,202451,999,peripheral
STREAM.(NEEDS.NEW.NAME),STREAMNEEDSNEWNAME,380919,199926,999,peripheral
STUMP,STUMP,382956,201126,19,core
SYCAMORE,SYCAMORE,381103,201676,6,core
TAXUS,TAXUS,381737,201220,11,core
THICKET,THICKET,380872,200010,999,peripheral
THIRD.ROW,THIRDROW,381860,201755,8,core
THISTLE.WOOD.BANK,THISTLEWOODBANK,381109,200408,4,core
TIP,TIP,380475,200580,4,core
TODDS,TODDS,380393,200413,4,core
TOP,TOP,381795,200962,12,core
TOP.OAK,TOPOAK,382616,201525,17,core
TRACKSIDE,TRACKSIDE,382281,201327,14,core
TRIPWIRE,TRIPWIRE,381813,200992,12,core
UTES,UTES,381542,200954,11,core
VILLIERS.CUT,VILLIERSCUT,384110,203159,999,peripheral
VILLIERS.UPPER,VILLIERSUPPER,383397,203233,999,peripheral
VINE,VINE,381932,201624,8,core
WALL,WALL,382201,200574,16,core
WASP.NEST,WASPNEST,380866,199947,999,peripheral
WATERBUTT,WATERBUTT,380662,201206,2,core
WEST,WEST,380190,201400,1,core
WINDFALL,WINDFALL,382124,200793,15,core
WINDSOR.EDGE,WINDSOREDGE,383635,200531,999,peripheral
WOOD.FARM,WOODFARM,383337,200429,22,core
WOODMANS,WOODMANS,382542,201397,17,core
WOODRUSH,WOODRUSH,382713,200607,16,core
WYCH.ELM,WYCHELM,382074,201085,15,core
XMAS.TREE,XMASTREE,382680,201174,19,core
YEW,YEW,381619,201268,11,core
