core_movement_class,n,n_badgers,proportion,median_distance_m,q75_distance_m,q90_distance_m,q95_distance_m
different SG,565,297,0.11817611378372725,352.2002271435951,447.93079822669034,652.8562553558404,807.5566970373192
"different sett, same SG",1235,609,0.25831416021752773,168.24089871371942,191.08375127153016,288.76212460098935,320.76539150578725
same sett,2981,1131,0.623509725998745,0,0,0,0
