gap_class,n,n_badgers,median_distance_m,q75_distance_m,q90_distance_m,q95_distance_m
1 quarter,6093,1792,0,127.38916751435343,286.6810073932349,398.0175875511031
2 quarters,1979,1087,0,168.24089871371942,353.0042492662093,478.19397201206743
3-4 quarters,1858,990,0,185.17289218457435,353.0042492662093,491.6177999317357
5-8 quarters,737,554,0,210.38060747131613,421.80739402542673,599.2541336335354
>8 quarters,283,259,0,330.73271003264404,607.5146088778442,937.6017278141077
