origin_SG,sigma_move,same_SG_mean,same_SG_median,neighbour_SG_mean,neighbour_SG_median,nonneighbour_SG_mean,nonneighbour_SG_median,peripheral_mean,peripheral_median
1,60,0.8541175515580071,0.947510650479791,0.06948933802469077,1.3783295131214153e-4,2.544759991476253e-9,0,0.07639310787254215,0.0010275457563677602
1,100,0.7759463611298496,0.8206135098298903,0.10355779097631368,0.010323581249277927,2.024232332585204e-5,0,0.12047560557051087,0.030191065077958844
1,150,0.6810555095469351,0.6876617559955815,0.14053354178688537,0.049036004506683994,6.014398184234674e-4,0,0.17780950884775618,0.1090918335540552
2,60,0.6719235663398891,0.6894253985052471,0.2309875684920965,0.2063019834539988,0.003674116322307481,9.737799689046446e-7,0.0934147488457068,0.012438034560453327
2,100,0.5176984438621609,0.5115522738990956,0.3312608621759476,0.3447180388719291,0.013494352119321897,0.0013243866893981185,0.13754634184256961,0.07201840352632878
2,150,0.3603245823567504,0.3590989723834692,0.42460984080162667,0.4284292321013097,0.03195565490069334,0.0156752307821541,0.18310992194092957,0.13885080967667093
3,60,0.6360390515362272,0.6234095857633896,0.36337435804462354,0.37657910751555523,3.4120873491822654e-5,1.191027503984322e-8,5.524695456573817e-4,7.698266614693872e-9
3,100,0.48357680508750517,0.4776878818595385,0.5091617398030571,0.5139849189948316,0.0020256667006680633,3.5682094075161896e-4,0.005235788408769589,3.034727201796675e-4
3,150,0.33345532152508467,0.33805122738402793,0.6284513315698503,0.6270437371690021,0.018244103923692242,0.013034689710464207,0.019849242981372764,0.00825665202912661
4,60,0.8238478024713239,0.8888696143899472,0.09054624197691104,0.007595434212474222,5.239341321677845e-10,2.3966214385960548e-23,0.0856059550278308,0.0069689068261194476
4,100,0.7332392132668243,0.7594736636078222,0.13628352253509288,0.0643588680210601,2.1337088606114324e-5,6.310920074151842e-10,0.1304559271094767,0.06467570608312101
4,150,0.6263511622798633,0.634686766253314,0.1886290851757493,0.13513120069924212,8.852901397620786e-4,6.041585849601947e-6,0.1841344624046253,0.1534399492487882
5,60,0.5517776374448247,0.511212670006856,0.07997835377281598,0.01630657915262016,3.1794377063722815e-20,0,0.36824400878235936,0.3472086781548538
5,100,0.37287078785994154,0.375819067694381,0.13085125184861263,0.09100261826443183,8.439562195224952e-9,0,0.4962779518518836,0.49349828683713903
5,150,0.23016754815885718,0.2330905206904133,0.18395038377650932,0.16815057836529854,2.334697066901241e-5,0,0.5858587210939644,0.5864357386555479
6,60,0.7704288707306659,0.7992902644619239,0.1828263449490435,0.11122405840414715,3.0062202246255006e-4,8.226894326636103e-11,0.04644416229782799,1.4191324495992585e-4
6,100,0.6539306707988352,0.6671344173226662,0.27054613788576876,0.25516077331999826,0.004103935386087114,6.415246363002259e-5,0.07141925592930902,0.010442526299353314
6,150,0.5189501566618842,0.5185243955683125,0.35790120801658387,0.36777607142181934,0.019146231205224015,0.0045525083766954685,0.10400240411630797,0.05346131998519859
7,60,0.7694183078970163,0.8170771973054598,0.11117265668099827,0.01653474854829999,5.515820649806886e-6,4.722734656273689e-19,0.11940351960133566,0.023777908014490166
7,100,0.6562099436404979,0.6545988154580573,0.16573240030101144,0.08967382413975786,4.493142165087276e-4,4.4261535001405886e-8,0.17760834184198193,0.11493973966420981
7,150,0.5311172627193191,0.5319009548445002,0.2211021459162815,0.1763260856200952,0.003897855235408899,1.1133793435975787e-4,0.24388273612899047,0.2136480184157088
8,60,0.8403214480560665,0.9236725715617378,0.0829403621248981,0.0016583124559381409,4.4711612688617757e-4,3.680624963917542e-12,0.07629107369214926,0.0034865039869284168
8,100,0.7548570845987709,0.7928433332291722,0.12167189253402982,0.04005080634829128,0.004998692683775831,2.2581403015232087e-5,0.1184723301834235,0.03517400675102928
8,150,0.6487188783335904,0.6538885465044858,0.16111844699823272,0.12414107735177948,0.020662667053019192,0.0029833338365960727,0.16950000761515763,0.10681008158409012
9,60,0.7523870408701102,0.7946057394159689,0.24602538777808447,0.20539425951302567,0.0015875713231651442,9.77336861522537e-9,2.864013354558177e-11,1.9580814219537626e-17
9,100,0.6315648644514331,0.6398177857773917,0.3622100481990549,0.3597550857080051,0.006215920639955488,3.299002677203993e-4,9.166709556523729e-6,1.298098064728331e-7
9,150,0.5011529880699479,0.5056888926458105,0.47933009291785145,0.4855112950885212,0.018620078285421827,0.009086600706957593,8.968407267787969e-4,2.2123757660050266e-4
10,60,0.6753266482300101,0.6474881408113472,0.3228576063931436,0.3525116544171156,0.0018157453743308828,2.235282186972552e-5,2.5154315659991194e-12,4.552420998025814e-18
10,100,0.5104037466214341,0.5092388508907368,0.4737947504067913,0.48325117957950997,0.015799245006421332,0.004636261388228278,2.25796535328517e-6,9.759320960447205e-8
10,150,0.3458443647484904,0.3490761496518694,0.5995190330299223,0.5936842612961839,0.054367804500539706,0.03429237568420079,2.687977210476731e-4,1.064123398012677e-4
11,60,0.7568207667760967,0.7994473993237824,0.24316224568644798,0.20055254263741978,1.5863776376812723e-5,7.652448539832913e-11,1.1237610785868731e-6,1.3181918463392144e-17
11,100,0.6381966892055648,0.649852787753615,0.3597260312986941,0.34688197454198305,0.0017182136475878908,5.2578082635872744e-5,3.5906584815308313e-4,1.1645218224175054e-7
11,150,0.5044028919078767,0.5175518851702752,0.4762183713574232,0.46877333924783626,0.015335326471989685,0.004058565045242399,0.004043410262710463,1.5584952853066181e-4
12,60,0.7927628810361305,0.8714916800323412,0.1475477169793093,0.07004119709884378,1.4789123542408117e-5,5.557028549618803e-9,0.059674612861017814,5.25663923522267e-4
12,100,0.6953640686883266,0.7056101244178791,0.21252942268466732,0.1606831879624257,0.0015505257520429894,2.5684818970788016e-4,0.09055598287496316,0.020812050222636883
12,150,0.5777507660915124,0.578601997675365,0.2812690178475941,0.257162152194494,0.013641913643604679,0.008969641426186815,0.12733830241728883,0.063783449788432
13,60,0.5363437072129827,0.4981418494219369,0.46312695300133083,0.5015839503710794,5.293099004684048e-4,4.670622966561601e-6,2.988521798547681e-8,1.775738508188521e-16
13,100,0.402039110427231,0.41691015921995955,0.590462596211767,0.5775669529024083,0.0074396127735527765,0.003348297941864267,5.868058744926049e-5,2.5478988246796687e-7
13,150,0.2810361681112638,0.30949773686797255,0.6862969833624366,0.6768967119558227,0.031592898253039466,0.02881769931068215,0.001073950273260131,2.55931768585223e-4
14,60,0.7239126703867387,0.7419107264235774,0.23755436637478336,0.19193761275960947,8.59850916304302e-7,2.486865997526888e-11,0.038532103387561675,2.1426694176687596e-7
14,100,0.6046797647178961,0.6101038295653212,0.3411322065599524,0.3066022830846549,3.1461242508825407e-4,2.734469363430183e-5,0.053873416297063284,0.001259340844247911
