sigma_move,same_SG_mean,same_SG_median,neighbour_SG_mean,neighbour_SG_median,nonneighbour_SG_mean,nonneighbour_SG_median,peripheral_mean,peripheral_median
60,0.7798525272507586,0.8374448227916458,0.1530464711045787,0.06666525867900294,3.0263020968995796e-4,9.967992423139134e-13,0.06679837143497273,1.2628547081653912e-4
100,0.6725322462820299,0.6782666554040506,0.22387359818484082,0.1858248349795636,0.0025631128195502837,9.240535193383915e-6,0.10103104271357895,0.01137145503821339
150,0.5506033445429713,0.5453663870436732,0.29556928656213893,0.2909478206426512,0.01147137245237211,0.0017056663165108676,0.14235599644251762,0.06020407810124854
