Sett_Clean,x,y,detector,row_R,col_R,in_bounds,SG_id,habitat,zone,nearest_detector_m
TRACKSIDE,382281,201327,84,57,94,TRUE,14,1,1,159.38946012832844
VINE,381932,201624,85,51,87,TRUE,8,1,1,47.12748667179272
WALL,382201,200574,86,72,93,TRUE,16,1,1,155.56349186104046
WASPNEST,380866,199947,87,85,66,TRUE,999,1,2,63.28506932918696
WEST,380190,201400,88,56,53,TRUE,1,1,1,89.45389874119518
WINDSOREDGE,383635,200531,89,73,121,TRUE,999,1,2,65.76473218982953
WOODFARM,383337,200429,90,75,116,TRUE,22,1,1,314.97301471713416
WOODMANS,382542,201397,91,56,100,TRUE,17,1,1,122.2620137246234
WOODRUSH,382713,200607,92,72,103,TRUE,16,1,1,179.51323071016242
WYCHELM,382074,201085,93,62,90,TRUE,15,1,1,37.05401462729781
XMASTREE,382680,201174,94,60,102,TRUE,17,1,1,114.61239025515522
YEW,381619,201268,95,59,81,TRUE,11,1,1,127.38916751435343
