tattoo,date,pm,sample,afno,result,lesions,abscesses,Spoligo,SpolPrime,Sampler1,Sampler2
001A,20/05/2014,No,FAECES,59140003,NEGATIVE,,,,,FR,
001A,20/05/2014,No,OA,59140001,NEGATIVE,,,,,FR,
001A,20/05/2014,No,TA,59140002,NEGATIVE,,,,,FR,
001A,23/01/2020,Yes,POOLED,0210518020,M.BOVIS,VL,,17,,,
001B,25/01/2006,No,OA,59061211,NEGATIVE,,,,,SB,
001B,25/01/2006,No,URINE,59061212,NEGATIVE,,,,,SB,
001B,24/05/2006,No,TA,59060177,NEGATIVE,,,,,CH,
001B,05/05/2009,No,FAECES,59090013,NEGATIVE,,,,,GW,
001B,05/05/2009,No,OA,59090010,NEGATIVE,,,,,GW,
001B,05/05/2009,No,TA,59090011,NEGATIVE,,,,,GW,
001B,05/05/2009,No,URINE,59090012,NEGATIVE,,,,,GW,
001C,26/01/2016,No,OA,59160758,NEGATIVE,,,,,PS,
001C,26/01/2016,No,TA,59160759,NEGATIVE,,,,,PS,
001E,21/05/2013,No,OA,59130004,NEGATIVE,,,,,RD,
001E,21/05/2013,No,TA,59130005,NEGATIVE,,,,,RD,
001E,21/05/2013,No,URINE,59130006,NEGATIVE,,,,,RD,
001E,15/07/2015,No,OA,59150361,NEGATIVE,,,,,JF,
001E,15/07/2015,No,TA,59150362,NEGATIVE,,,,,JF,
001E,15/07/2015,No,URINE,59150363,NEGATIVE,,,,,JF,
001F,19/01/2010,No,FAECES,59101074,NEGATIVE,,,,,KP,
001F,19/01/2010,No,OA,59101072,NEGATIVE,,,,,KP,
001F,19/01/2010,No,TA,59101073,NEGATIVE,,,,,KP,
001F,24/05/2010,No,FAECES,59100152,NEGATIVE,,,,,GW,
001F,24/05/2010,No,OA,59100150,NEGATIVE,,,,,GW,
001F,24/05/2010,No,TA,59100151,NEGATIVE,,,,,GW,
001F,21/09/2010,No,FAECES,59100629,NEGATIVE,,,,,CH,
001F,21/09/2010,No,OA,59100627,NEGATIVE,,,RETEST,,CH,
001F,21/09/2010,No,TA,59100628,NEGATIVE,,,,,CH,
001G,08/01/2003,No,OA,59030001,NEGATIVE,,,,,ACC,
001G,08/01/2003,No,URINE,59030002,NEGATIVE,,,,,RD,
001H,21/01/2020,No,FAECES,4610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,OA,1610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,TA,2610029620,NEGATIVE,,,,,PS,
001H,21/01/2020,No,URINE,3610029620,NEGATIVE,,,,,PS,
001K,24/01/2012,No,FAECES,59121001,NEGATIVE,,,,,RD,
001K,24/01/2012,No,OA,59120998,NEGATIVE,,,,,RD,
001K,24/01/2012,No,TA,59120999,NEGATIVE,,,,,RD,
001K,24/01/2012,No,URINE,59121000,NEGATIVE,,,,,RD,
001K,27/06/2012,No,OA,59120277,NEGATIVE,,,,,SC,
001K,27/06/2012,No,TA,59120278,NEGATIVE,,,,,SC,
001K,13/08/2013,No,FAECES,59130540,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,OA,59130537,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,TA,59130538,NEGATIVE,,,,,JJ,
001K,13/08/2013,No,URINE,59130539,NEGATIVE,,,,,JJ,
001K,03/06/2014,No,FAECES,59140118,NEGATIVE,,,,,FR,
001K,03/06/2014,No,OA,59140115,NEGATIVE,,,,,FR,
001K,03/06/2014,No,TA,59140116,NEGATIVE,,,,,FR,
001K,03/06/2014,No,URINE,59140117,NEGATIVE,,,,,FR,
001L,25/01/2011,No,OA,59111078,NEGATIVE,,,,,KP,
001L,25/01/2011,No,TA,59111079,NEGATIVE,,,,,KP,
001L,25/01/2011,No,URINE,59111080,NEGATIVE,,,,,KP,
001L,26/06/2012,No,FAECES,59120358,NEGATIVE,,,,,CH,
001L,26/06/2012,No,OA,59120355,NEGATIVE,,,,,CH,
001L,26/06/2012,No,TA,59120356,NEGATIVE,,,,,CH,
001L,26/06/2012,No,URINE,59120357,NEGATIVE,,,,,CH,
001L,13/08/2013,No,FAECES,59130567,NEGATIVE,,,,,PS,
001L,13/08/2013,No,OA,59130564,NEGATIVE,,,,,PS,
001L,13/08/2013,No,TA,59130565,NEGATIVE,,,,,PS,
001L,13/08/2013,No,URINE,59130566,NEGATIVE,,,,,PS,
001L,10/09/2014,No,OA,59140447,NEGATIVE,,,,,RD,
001L,10/09/2014,No,TA,59140448,NEGATIVE,,,,,RD,
001L,10/09/2014,No,URINE,59140449,NEGATIVE,,,,,RD,
001M,09/01/2018,No,OA,59180471,NEGATIVE,,,,,RS,
001M,09/01/2018,No,TA,59180472,NEGATIVE,,,,,RS,
001N,27/01/2009,No,FAECES,59091480,NEGATIVE,,,,,GW,
001N,27/01/2009,No,OA,59091477,NEGATIVE,,,,,GW,
001N,27/01/2009,No,TA,59091478,NEGATIVE,,,,,GW,
001N,27/01/2009,No,URINE,59091479,NEGATIVE,,,,,GW,
001N,23/03/2009,Yes,KIDNEYS,,,NVL,,,,,
001N,23/03/2009,Yes,LIVER,,,NVL,,,,,
001N,23/03/2009,Yes,LUNG,,,NVL,,,,,
001N,23/03/2009,Yes,LYMPH NODE,22099006,NEGATIVE,,,,,,
001N,23/03/2009,Yes,SPLEEN,,,NVL,,,,,
001P,08/01/2008,No,FAECES,59080020,NEGATIVE,,,,,GW,
001P,08/01/2008,No,OA,59080017,NEGATIVE,,,,,GW,
001P,08/01/2008,No,TA,59080018,NEGATIVE,,,,,GW,
001P,08/01/2008,No,URINE,59080019,NEGATIVE,,,,,GW,
001P,03/06/2008,No,OA,59080445,NEGATIVE,,,,,CH,
001P,03/06/2008,No,TA,59080446,NEGATIVE,,,,,CH,
001P,03/06/2008,No,URINE,59080447,NEGATIVE,,,,,CH,
001P,20/08/2008,No,OA,59080902,NEGATIVE,,,,,SB,
001P,20/08/2008,No,TA,59080903,NEGATIVE,,,,,SB,
001P,20/08/2008,No,URINE,59080904,NEGATIVE,,,,,SB,
001P,04/10/2011,No,FAECES,59110890,NEGATIVE,,,,,AG,
001P,04/10/2011,No,OA,59110887,NEGATIVE,,,,,AG,
001P,04/10/2011,No,TA,59110888,NEGATIVE,,,,,AG,
001P,04/10/2011,No,URINE,59110889,NEGATIVE,,,,,KP,
001P,14/08/2012,No,FAECES,59120677,NEGATIVE,,,,,JJ,
001P,14/08/2012,No,OA,59120675,NEGATIVE,,,,,JJ,
001P,14/08/2012,No,TA,59120676,NEGATIVE,,,,,JJ,
001P,16/10/2012,No,FAECES,59120834,NEGATIVE,,,,,PS,
001P,16/10/2012,No,OA,59120831,NEGATIVE,,,,,IV,
001P,16/10/2012,No,TA,59120832,NEGATIVE,,,,,IV,
001P,16/10/2012,No,URINE,59120833,NEGATIVE,,,,,PS,
001P,05/06/2013,No,NECK,59130135,NEGATIVE,,,,,RD,
001P,05/06/2013,No,OA,59130132,NEGATIVE,,,,,RD,
001P,05/06/2013,No,TA,59130133,NEGATIVE,,,,,RD,
001P,05/06/2013,No,URINE,59130134,NEGATIVE,,,,,RD,
001P,23/10/2013,No,OA,59130792,NEGATIVE,,,,,JJ,
001P,23/10/2013,No,RUMP,59130794,NEGATIVE,,,,,JJ,
001P,23/10/2013,No,TA,59130793,NEGATIVE,,,,,JJ,
001P,24/06/2014,No,FAECES,59140253,M.BOVIS,,,17,,FR,
001P,24/06/2014,No,OA,59140250,NEGATIVE,,,,,FR,
001P,24/06/2014,No,TA,59140251,NEGATIVE,,,,,FR,
001P,24/06/2014,No,URINE,59140252,NEGATIVE,,,,,FR,
001R,13/01/2004,No,OA,59040026,NEGATIVE,,,,,BT,
001R,15/03/2004,No,OA,59040110,NEGATIVE,,,,,PS,
001R,15/03/2004,No,URINE,59040111,NEGATIVE,,,,,PS,
001T,24/01/2017,No,BODY,59170694,NEGATIVE,,,,,RD,
001T,24/01/2017,No,FAECES,59170693,NEGATIVE,,,,,RD,
001T,24/01/2017,No,OA,59170690,NEGATIVE,,,,,RD,
001T,24/01/2017,No,TA,59170691,NEGATIVE,,,,,RD,
001T,24/01/2017,No,URINE,59170692,NEGATIVE,,,,,RD,
001V,27/01/2015,No,NECK,59150885,NEGATIVE,,,,,FS,
001V,27/01/2015,No,OA,59150883,NEGATIVE,,,,,FS,
001V,27/01/2015,No,TA,59150884,NEGATIVE,,,,,FS,
001W,19/01/2005,No,OA,59050032,NEGATIVE,,,,,SB,
001W,19/01/2005,No,URINE,59050033,NEGATIVE,,,,,SB,
001W,07/06/2005,No,FAECES,59050355,NEGATIVE,,,,,RD,
001W,07/06/2005,No,OA,59050354,NEGATIVE,,,,,RD,
001Y,09/01/2007,No,OA,59071057,NEGATIVE,,,,,SC,
001Y,09/01/2007,No,TA,59071058,NEGATIVE,,,,,SC,
001Y,09/01/2007,No,URINE,59071059,NEGATIVE,,,,,CH,
001Z,18/06/2019,No,OA,1610216519,NEGATIVE,,,,,IV,
001Z,18/06/2019,No,TA,2610216519,NEGATIVE,,,,,IV,
001Z,18/06/2019,No,URINE,3610216519,NEGATIVE,,,,,IV,
001Z,13/08/2019,No,FAECES,4610285419,NEGATIVE,,,,,RD,
001Z,13/08/2019,No,OA,1610285419,NEGATIVE,,,,,RD,
001Z,13/08/2019,No,TA,2610285419,NEGATIVE,,,,,RD,
001Z,13/08/2019,No,URINE,3610285419,NEGATIVE,,,,,RD,
001Z,10/09/2019,No,FAECES,4610323119,NEGATIVE,,,,,IV,
001Z,10/09/2019,No,OA,1610323119,NEGATIVE,,,,,IV,
001Z,10/09/2019,No,TA,2610323119,NEGATIVE,,,,,IV,
001Z,10/09/2019,No,URINE,3610323119,NEGATIVE,,,,,IV,
001Z,19/11/2019,No,OA,1610441319,NEGATIVE,,,,,PS,
001Z,19/11/2019,No,TA,2610441319,NEGATIVE,,,,,PS,
001Z,19/11/2019,No,URINE,3610441319,NEGATIVE,,,,,PS,
002A,20/05/2014,No,FAECES,59140007,NEGATIVE,,,,,FR,
002A,20/05/2014,No,OA,59140004,NEGATIVE,,,,,FR,
002A,20/05/2014,No,TA,59140005,NEGATIVE,,,,,FR,
002A,20/05/2014,No,URINE,59140006,M.BOVIS,,,17,,FR,
002A,12/08/2014,No,FAECES,59140263,NEGATIVE,,,,,JJ,
002A,12/08/2014,No,OA,59140260,NEGATIVE,,,,,JJ,
002A,12/08/2014,No,TA,59140261,NEGATIVE,,,,,JJ,
002A,12/08/2014,No,URINE,59140262,NEGATIVE,,,,,JJ,
002A,23/09/2014,No,FAECES,59140559,NEGATIVE,,,,,SC,
002A,23/09/2014,No,OA,59140556,NEGATIVE,,,,,SC,
002A,23/09/2014,No,TA,59140557,NEGATIVE,,,,,SC,
002A,23/09/2014,No,URINE,59140558,NEGATIVE,,,,,SC,
002A,05/11/2014,No,OA,59140661,NEGATIVE,,,,,JM,
002A,05/11/2014,No,TA,59140662,NEGATIVE,,,,,JM,
002A,05/11/2014,No,URINE,59140663,NEGATIVE,,,,,JM,
002A,10/12/2014,No,OA,59140766,NEGATIVE,,,,,JM,
002A,10/12/2014,No,TA,59140767,NEGATIVE,,,,,JM,
002A,10/12/2014,No,URINE,59140768,NEGATIVE,,,,,JM,
002A,20/05/2015,No,OA,59150001,NEGATIVE,,,,,SC,
002A,20/05/2015,No,TA,59150002,NEGATIVE,,,,,SC,
002A,20/05/2015,No,URINE,59150003,NEGATIVE,,,,,SC,
002A,14/07/2015,No,FAECES,59150332,NEGATIVE,,,,,IV,
002A,14/07/2015,No,OA,59150330,NEGATIVE,,,,,IV,
002A,14/07/2015,No,TA,59150331,NEGATIVE,,,,,IV,
002A,13/10/2015,No,FAECES,59150574,NEGATIVE,,,,,FS,
002A,13/10/2015,No,OA,59150571,NEGATIVE,,,,,FS,
002A,13/10/2015,No,TA,59150572,NEGATIVE,,,,,FS,
002A,13/10/2015,No,URINE,59150573,NEGATIVE,,,,,FS,
002A,25/11/2015,No,OA,59150657,NEGATIVE,,,,,RD,
002A,25/11/2015,No,TA,59150658,NEGATIVE,,,,,RD,
002A,25/11/2015,No,URINE,59150659,NEGATIVE,,,,,RD,
002A,05/09/2017,No,FAECES,59170351,NEGATIVE,,,,,PS,
002A,05/09/2017,No,OA,59170348,NEGATIVE,,,,,PS,
002A,05/09/2017,No,TA,59170349,NEGATIVE,,,,,PS,
002A,05/09/2017,No,URINE,59170350,NEGATIVE,,,,,PS,
002A,26/06/2018,No,BODY,59180145,NEGATIVE,,,,,FS,
002A,26/06/2018,No,FAECES,59180144,NEGATIVE,,,,,FS,
002A,26/06/2018,No,OA,59180141,NEGATIVE,,,,,FS,
002A,26/06/2018,No,TA,59180142,NEGATIVE,,,,,FS,
002A,26/06/2018,No,URINE,59180143,NEGATIVE,,,,,FS,
002B,09/05/2006,No,FAECES,59060004,NEGATIVE,,,,,CH,
002B,09/05/2006,No,TA,59060003,NEGATIVE,,,,,CH,
002B,18/07/2006,No,TA,59060353,NEGATIVE,,,,,SC,
002B,18/07/2006,No,URINE,59060354,NEGATIVE,,,,,SC,
002B,25/10/2006,No,TA,59060738,NEGATIVE,,,,,GW,
002B,25/10/2006,No,URINE,59060739,NEGATIVE,,,,,GW,
002B,12/12/2006,No,OA,59060979,NEGATIVE,,,,,GW,
002B,12/12/2006,No,TA,59060980,NEGATIVE,,,,,GW,
002B,12/12/2006,No,URINE,59060981,NEGATIVE,,,,,GW,
002B,08/05/2007,No,OA,59070001,NEGATIVE,,,,,GW,
002B,08/05/2007,No,TA,59070002,NEGATIVE,,,,,GW,
002B,08/05/2007,No,URINE,59070003,NEGATIVE,,,,,GW,
002B,07/05/2008,No,OA,59080120,NEGATIVE,,,,,SB,
002B,07/05/2008,No,TA,59080121,NEGATIVE,,,,,SB,
002B,07/05/2008,No,URINE,59080122,NEGATIVE,,,,,SB,
002C,26/01/2016,No,NECK,59160763,NEGATIVE,,,,,RD,
002C,26/01/2016,No,OA,59160760,NEGATIVE,,,,,RD,
002C,26/01/2016,No,TA,59160761,NEGATIVE,,,,,RD,
002C,26/01/2016,No,URINE,59160762,NEGATIVE,,,,,RD,
002C,28/06/2016,No,FAECES,59160151,NEGATIVE,,,,,FS,
002C,28/06/2016,No,OA,59160148,NEGATIVE,,,,,FS,
002C,28/06/2016,No,TA,59160149,NEGATIVE,,,,,FS,
002C,28/06/2016,No,URINE,59160150,NEGATIVE,,,,,FS,
002C,09/08/2016,No,FAECES,59160344,NEGATIVE,,,,,FS,
002C,09/08/2016,No,OA,59160341,NEGATIVE,,,,,FS,
002C,09/08/2016,No,TA,59160342,NEGATIVE,,,,,FS,
002C,09/08/2016,No,URINE,59160343,NEGATIVE,,,,,FS,
002C,18/10/2016,No,FAECES,59160514,NEGATIVE,,,,,RD,
002C,18/10/2016,No,L SUBM,59160515,M.BOVIS,,,17,,RD,
002C,18/10/2016,No,OA,59160511,NEGATIVE,,,,,RD,
002C,18/10/2016,No,TA,59160512,NEGATIVE,,,,,RD,
002C,18/10/2016,No,URINE,59160513,NEGATIVE,,,,,RD,
002E,22/05/2013,No,OA,59130007,NEGATIVE,,,,,SC,
002E,22/05/2013,No,TA,59130008,NEGATIVE,,,,,SC,
002E,16/07/2013,No,FAECES,59130273,NEGATIVE,,,,,JJ,
002E,16/07/2013,No,NECK,59130274,M.BOVIS,,,17,,FR,
002E,16/07/2013,No,OA,59130271,NEGATIVE,,,,,JJ,
002E,16/07/2013,No,TA,59130272,NEGATIVE,,,,,JJ,
002E,24/09/2013,No,OA,59130646,NEGATIVE,,,,,RD,
002E,24/09/2013,No,R SUBM,59130649,M.BOVIS,,,17,,RD,
002E,24/09/2013,No,TA,59130647,NEGATIVE,,,,,RD,
002E,24/09/2013,No,URINE,59130648,NEGATIVE,,,,,RD,
002E,12/08/2014,No,BODY,59140303,M.BOVIS,,,17,,JJ,
002E,12/08/2014,No,FAECES,59140301,M.BOVIS,,,17,,JJ,
002E,12/08/2014,No,NECK,59140302,M.BOVIS,,,17,,JJ,
002E,12/08/2014,No,OA,59140298,NEGATIVE,,,,,JJ,
002E,12/08/2014,No,TA,59140299,NEGATIVE,,,,,JJ,
002E,12/08/2014,No,URINE,59140300,M.BOVIS,,,17,,JJ,
002F,26/01/2010,No,FAECES,59101114,NEGATIVE,,,,,AT,
002F,26/01/2010,No,OA,59101111,NEGATIVE,,,,,AT,
002F,26/01/2010,No,TA,59101112,NEGATIVE,,,,,AT,
002F,26/01/2010,No,URINE,59101113,NEGATIVE,,,,,AT,
002F,16/06/2010,No,OA,59100322,NEGATIVE,,,,,PS,
002F,16/06/2010,No,TA,59100323,NEGATIVE,,,,,PS,
002F,16/06/2010,No,URINE,59100324,NEGATIVE,,,,,PS,
002F,30/11/2010,No,OA,59100935,NEGATIVE,,,,,KP,
002F,30/11/2010,No,TA,59100936,NEGATIVE,,,,,KP,
002F,27/06/2012,No,OA,59120262,NEGATIVE,,,,,SC,
002F,27/06/2012,No,TA,59120263,NEGATIVE,,,,,SC,
002F,27/06/2012,No,URINE,59120264,M.BOVIS,,,17,,SC,
002G,22/01/2003,No,OA,59030055,NEGATIVE,,,,,ACC,
002G,22/01/2003,No,URINE,59030056,NEGATIVE,,,,,ACC,
002G,01/02/2005,No,NECK,59050053,NEGATIVE,,,,,CH,
002G,01/02/2005,No,OA,59050052,NEGATIVE,,,,,CH,
002G,01/02/2005,No,RUMP,59050054,NEGATIVE,,,,,CH,
002G,16/08/2005,No,FAECES,59050792,NEGATIVE,,,,,SB,
002G,16/08/2005,No,OA,59050790,NEGATIVE,,,,,SB,
002G,16/08/2005,No,URINE,59050791,NEGATIVE,,,,,SB,
002G,11/10/2005,No,FAECES,59051061,NEGATIVE,,,,,GW,
002G,11/10/2005,No,OA,59051060,NEGATIVE,,,,,GW,
002G,06/06/2007,No,TA,59070310,NEGATIVE,,,,,CH,
002G,06/06/2007,No,URINE,59070311,NEGATIVE,,,,,CH,
002G,11/09/2007,No,FAECES,59070676,NEGATIVE,,,,,GW,
002G,11/09/2007,No,OA,59070673,NEGATIVE,,,,,GW,
002G,11/09/2007,No,TA,59070674,NEGATIVE,,,,,GW,
002G,11/09/2007,No,URINE,59070675,NEGATIVE,,,,,GW,
002H,21/01/2020,No,OA,1610030020,NEGATIVE,,,,,RD,
002H,21/01/2020,No,TA,2610030020,NEGATIVE,,,,,RD,
002H,21/01/2020,No,URINE,3610030020,NEGATIVE,,,,,RD,
002K,24/01/2012,No,FAECES,59121005,NEGATIVE,,,,,IV,
002K,24/01/2012,No,OA,59121002,NEGATIVE,,,,,IV,
002K,24/01/2012,No,TA,59121003,NEGATIVE,,,,,IV,
002K,24/01/2012,No,URINE,59121004,NEGATIVE,,,,,IV,
002K,26/06/2012,No,FAECES,59120282,NEGATIVE,,,,,CH,
002K,26/06/2012,No,OA,59120279,NEGATIVE,,,,,CH,
002K,26/06/2012,No,TA,59120280,NEGATIVE,,,,,CH,
002K,26/06/2012,No,URINE,59120281,NEGATIVE,,,,,CH,
002K,18/06/2013,No,FAECES,59130201,NEGATIVE,,,,,JJ,
002K,18/06/2013,No,OA,59130198,NEGATIVE,,,,,JJ,
002K,18/06/2013,No,TA,59130199,NEGATIVE,,,,,JJ,
002K,18/06/2013,No,URINE,59130200,NEGATIVE,,,,,JJ,
002K,28/01/2014,No,FAECES,59140870,NEGATIVE,,,,,RD,
002K,28/01/2014,No,OA,59140868,NEGATIVE,,,,,RD,
002K,28/01/2014,No,TA,59140869,NEGATIVE,,,,,RD,
002K,04/11/2014,No,FAECES,59140737,NEGATIVE,,,,,RD,
002K,04/11/2014,No,OA,59140735,NEGATIVE,,,,,RD,
002K,04/11/2014,No,TA,59140736,NEGATIVE,,,,,RD,
002K,27/01/2015,No,FAECES,59150877,NEGATIVE,,,,,JJ,
002K,27/01/2015,No,OA,59150875,NEGATIVE,,,,,JJ,
002K,27/01/2015,No,TA,59150876,NEGATIVE,,,,,JJ,
002K,23/06/2015,No,FAECES,59150271,NEGATIVE,,,,,FS,
002K,23/06/2015,No,OA,59150269,NEGATIVE,,,,,FS,
002K,23/06/2015,No,TA,59150270,NEGATIVE,,,,,FS,
002K,08/09/2015,No,FAECES,59150530,NEGATIVE,,,,,IV,
002K,08/09/2015,No,OA,59150528,NEGATIVE,,,,,IV,
002K,08/09/2015,No,TA,59150529,NEGATIVE,,,,,IV,
002K,28/06/2016,No,FAECES,59160183,NEGATIVE,,,,,RD,
002K,28/06/2016,No,OA,59160180,NEGATIVE,,,,,RD,
002K,28/06/2016,No,TA,59160181,NEGATIVE,,,,,RD,
002K,28/06/2016,No,URINE,59160182,NEGATIVE,,,,,RD,
002K,19/10/2016,No,OA,59160577,NEGATIVE,,,,,TG,
002K,19/10/2016,No,TA,59160578,NEGATIVE,,,,,TG,
002K,24/01/2017,No,OA,59170682,NEGATIVE,,,,,TG,
002K,24/01/2017,No,TA,59170683,NEGATIVE,,,,,TG,
002K,09/03/2017,Yes,POOLED,21175517,M.BOVIS,,,17,,,
002L,25/01/2011,No,FAECES,59111084,NEGATIVE,,,,,KP,
002L,25/01/2011,No,HEAD,59111085,NEGATIVE,,,,,KP,
002L,25/01/2011,No,OA,59111081,NEGATIVE,,,,,KP,
002L,25/01/2011,No,TA,59111082,NEGATIVE,,,,,KP,
002L,25/01/2011,No,URINE,59111083,NEGATIVE,,,,,SB,
002M,30/01/2018,No,OA,59180520,NEGATIVE,,,,,PS,
002M,30/01/2018,No,TA,59180521,NEGATIVE,,,,,PS,
002M,30/01/2018,No,URINE,59180522,NEGATIVE,,,,,PS,
002N,19/05/2009,No,FAECES,59090140,NEGATIVE,,,,,RD,
002N,19/05/2009,No,OA,59090137,NEGATIVE,,,,,RD,
002N,19/05/2009,No,TA,59090138,NEGATIVE,,,,,RD,
002N,19/05/2009,No,URINE,59090139,NEGATIVE,,,,,RD,
002N,27/10/2009,No,OA,59090732,NEGATIVE,,,,,CH,
002N,27/10/2009,No,TA,59090733,NEGATIVE,,,,,CH,
002N,27/10/2009,No,URINE,59090734,NEGATIVE,,,,,CH,
002N,24/05/2010,No,OA,59100161,NEGATIVE,,,,,GW,
002N,24/05/2010,No,TA,59100162,NEGATIVE,,,,,GW,
002N,21/09/2010,No,OA,59100638,NEGATIVE,,,,,FR,
002N,21/09/2010,No,TA,59100639,NEGATIVE,,,,,FR,
002N,11/01/2011,No,OA,59111034,NEGATIVE,,,,,RD,
002N,11/01/2011,No,TA,59111035,NEGATIVE,,,,,RD,
002N,17/05/2011,No,FAECES,59110128,NEGATIVE,,,,,CH,
002N,17/05/2011,No,OA,59110125,NEGATIVE,,,,,CH,
002N,17/05/2011,No,TA,59110126,NEGATIVE,,,RETEST,,CH,
002N,17/05/2011,No,URINE,59110127,NEGATIVE,,,,,CH,
002N,12/07/2011,No,FAECES,59110506,NEGATIVE,,,,,CH,
002N,12/07/2011,No,OA,59110503,NEGATIVE,,,,,CH,
002N,12/07/2011,No,TA,59110504,NEGATIVE,,,,,CH,
002N,12/07/2011,No,URINE,59110505,NEGATIVE,,,,,CH,
002N,20/09/2011,No,FAECES,59110801,NEGATIVE,,,,,AT,
002N,20/09/2011,No,OA,59110798,NEGATIVE,,,,,AT,
002N,20/09/2011,No,TA,59110799,NEGATIVE,,,,,AT,
002N,20/09/2011,No,URINE,59110800,NEGATIVE,,,,,AT,
002P,06/05/2008,No,FAECES,59080151,NEGATIVE,,,,,GW,
002P,06/05/2008,No,OA,59080148,NEGATIVE,,,,,GW,
002P,06/05/2008,No,TA,59080149,NEGATIVE,,,,,GW,
002P,06/05/2008,No,URINE,59080150,NEGATIVE,,,,,GW,
002P,23/07/2008,No,OA,59080570,NEGATIVE,,,,,GW,
002P,23/07/2008,No,TA,59080571,NEGATIVE,,,,,GW,
002P,23/07/2008,No,URINE,59080572,NEGATIVE,,,,,GW,
002P,21/10/2008,No,OA,59081032,NEGATIVE,,,,,GW,
002P,21/10/2008,No,TA,59081033,NEGATIVE,,,,,GW,
002P,21/10/2008,No,URINE,59081034,NEGATIVE,,,,,GW,
002P,02/06/2009,No,FAECES,59090321,NEGATIVE,,,,,AT,
002P,02/06/2009,No,OA,59090318,NEGATIVE,,,,,AT,
002P,02/06/2009,No,TA,59090319,NEGATIVE,,,,,AT,
002P,02/06/2009,No,URINE,59090320,NEGATIVE,,,,,AT,
002P,21/07/2009,No,FAECES,59090502,NEGATIVE,,,,,PS,
002P,21/07/2009,No,OA,59090499,NEGATIVE,,,,,PS,
002P,21/07/2009,No,TA,59090500,NEGATIVE,,,,,PS,
002P,21/07/2009,No,URINE,59090501,NEGATIVE,,,,,PS,
002P,11/05/2010,No,FAECES,59100080,NEGATIVE,,,,,RD,
002P,11/05/2010,No,OA,59100077,NEGATIVE,,,,,RD,
002P,11/05/2010,No,TA,59100078,NEGATIVE,,,,,RD,
002P,11/05/2010,No,URINE,59100079,NEGATIVE,,,,,RD,
002P,30/05/2012,No,OA,59120120,NEGATIVE,,,,,RD,
002P,30/05/2012,No,TA,59120121,NEGATIVE,,,,,RD,
002P,30/05/2012,No,URINE,59120122,NEGATIVE,,,,,RD,
002R,14/01/2004,No,OA,59040027,NEGATIVE,,,,,DH,
002R,14/01/2004,No,URINE,59040028,NEGATIVE,,,,,DH,
002T,24/01/2017,No,FAECES,59170698,NEGATIVE,,,,,RD,
002T,24/01/2017,No,OA,59170695,NEGATIVE,,,,,RD,
002T,24/01/2017,No,TA,59170696,NEGATIVE,,,,,RD,
002T,24/01/2017,No,URINE,59170697,NEGATIVE,,,,,RD,
002T,11/07/2017,No,OA,59170175,NEGATIVE,,,,,FS,
002T,11/07/2017,No,TA,59170176,NEGATIVE,,,,,FS,
002T,11/07/2017,No,URINE,59170177,NEGATIVE,,,,,FS,
002T,02/10/2019,No,OA,1610363719,NEGATIVE,,,,,TG,
002T,02/10/2019,No,TA,2610363719,NEGATIVE,,,,,TG,
002V,27/01/2015,No,FAECES,59150889,NEGATIVE,,,,,JJ,
002V,27/01/2015,No,OA,59150886,NEGATIVE,,,,,JJ,
002V,27/01/2015,No,TA,59150887,NEGATIVE,,,,,JJ,
002V,27/01/2015,No,URINE,59150888,NEGATIVE,,,,,JJ,
002V,23/06/2015,No,FAECES,59150293,NEGATIVE,,,,,SC,
002V,23/06/2015,No,OA,59150291,NEGATIVE,,,,,SC,
002V,23/06/2015,No,TA,59150292,NEGATIVE,,,,,SC,
002V,08/09/2015,No,FAECES,59150545,NEGATIVE,,,,,PS,
002V,08/09/2015,No,OA,59150543,NEGATIVE,,,,,PS,
002V,08/09/2015,No,TA,59150544,NEGATIVE,,,,,PS,
002V,26/01/2016,No,FAECES,59160776,NEGATIVE,,,,,SC,
002V,26/01/2016,No,OA,59160774,NEGATIVE,,,,,SC,
002V,26/01/2016,No,TA,59160775,NEGATIVE,,,,,SC,
002V,13/06/2017,No,FAECES,59170043,NEGATIVE,,,,,PS,
002V,13/06/2017,No,OA,59170040,NEGATIVE,,,,,PS,
002V,13/06/2017,No,TA,59170041,NEGATIVE,,,,,PS,
002V,13/06/2017,No,URINE,59170042,NEGATIVE,,,,,PS,
002V,23/05/2018,No,FAECES,59180003,NEGATIVE,,,,,FS,
002V,23/05/2018,No,OA,59180001,NEGATIVE,,,,,FS,
002V,23/05/2018,No,TA,59180002,NEGATIVE,,,,,FS,
002V,21/08/2018,No,FAECES,59180351,NEGATIVE,,,,,RD,
002V,21/08/2018,No,OA,59180348,NEGATIVE,,,,,RD,
002V,21/08/2018,No,TA,59180349,NEGATIVE,,,,,RD,
002V,21/08/2018,No,URINE,59180350,NEGATIVE,,,,,RD,
002V,04/09/2018,No,FAECES,59180505,NEGATIVE,,,,,FS,
002V,04/09/2018,No,OA,59180503,NEGATIVE,,,,,FS,
002V,04/09/2018,No,TA,59180504,NEGATIVE,,,,,FS,
002V,31/10/2018,No,OA,59180763,NEGATIVE,,,,,PS,
