tattoo,date,year,quarter,Diagnostic model: fixed prevalence,Diagnostic model: annual prevalence,Diagnostic model: adjusted annual,All tests (fixed),All tests (inferred),Culture only (fixed)
001Q,2024-05-21,2024,2,0.0141634159465505,0.0141634159465505,0.00408804792990059,0.019266739994277797,0.0013096652572934732,0.011471125375838692
001Q,2024-08-06,2024,3,0.336406364798358,0.336406364798358,0.126516877748927,0.06247917846669864,0.007214737670451293,0.016302221290943934
001R,2004-01-13,2004,1,0.107280137099415,0.107280137099415,0.0744255990744436,0.042706383622736196,0.003247227927873522,0.1670027437043533
001R,2004-03-15,2004,1,0.107280137099415,0.107280137099415,0.0744255990744436,0.042706383622736196,0.003247227927873522,0.1670027437043533
001S,2021-01-12,2021,1,0.0141634159465505,0.0141634159465505,0.0153893895396351,4.611122107378782e-5,4.443167486425281e-5,0.015062486671772124
001S,2021-05-26,2021,2,0.0141634159465505,0.0141634159465505,0.0153893895396351,2.589803655892821e-4,3.0957501940030355e-4,0.028159567965756867
001S,2021-08-24,2021,3,0.0141634159465505,0.0141634159465505,0.0153893895396351,0.001726321295746418,0.001632491706915496,0.0334693234212173
001T,2017-01-24,2017,1,0.0185195260907294,0.0185195260907294,0.0206894129725413,0.009646937536567082,0.00831710170924691,0.0660163355901452
001V,2015-01-27,2015,1,0.0141634159465505,0.0141634159465505,0.021650384984387,0.006369141383944851,0.006208395511376329,0.13612294385809817
001W,2005-01-19,2005,1,0.577081615828524,0.577081615828524,0.45114122681883,0.8125164322098748,0.56880865143447,0.0982435730093704
001W,2005-06-07,2005,2,0.89772572264006,0.89772572264006,0.840953689227271,0.8532202234458435,0.6199239683512324,0.12107787146344198
001X,2025-05-20,2025,2,0.96913878961583,0.96913878961583,0.971865420817371,0.9632797542989044,0.15174837880543607,0.012198142518006713
001Y,2007-01-09,2007,1,0.217562605061461,0.217562605061461,0.253997789301325,0.1159692093104868,0.09033961091616413,0.047693313700642434
001Z,2019-06-18,2019,2,0.0141634159465505,0.0141634159465505,0.0154425535328556,1.2291158914030806e-5,8.858709139173739e-7,0.01260995646507176
001Z,2019-08-13,2019,3,0.0141634159465505,0.0141634159465505,0.0154425535328556,1.3147624744636354e-5,1.440468320292756e-6,0.015692803854235875
001Z,2019-09-10,2019,3,0.336406364798358,0.336406364798358,0.356270772570033,1.3147624744636354e-5,1.440468320292756e-6,0.015692803854235875
001Z,2019-11-19,2019,4,0.033195531009152,0.0141634159465505,0.0154425535328556,1.4991972307635946e-5,5.484618700306836e-6,0.020207390903482364
001Z,2020-08-18,2020,3,0.00232012381565603,0.0141634159465505,0.0131486788085586,2.559408761308173e-5,3.488991241870221e-5,0.05671257928968776
