radius_m,prop_same_SG_mean,prop_same_SG_median,prop_neighbour_SG_mean,prop_neighbour_SG_median,prop_nonneighbour_SG_mean,prop_nonneighbour_SG_median,prop_peripheral_mean,prop_peripheral_median
100,0.8026034662352821,0.9166666666666666,0.13761664381974537,0,8.337502084375521e-5,0,0.05969651492412873,0
200,0.658792236155467,0.6458333333333334,0.23434549366001722,0.20833333333333334,0.0017624350886350723,0,0.10509983509588076,0
300,0.5183604152450717,0.5089285714285714,0.32204107739401033,0.3235294117647059,0.008472477512986928,0,0.15112602984793105,0.0625
500,0.3095106632087366,0.2911392405063291,0.40171509608298317,0.4041095890410959,0.05378652588461361,0.02531645569620253,0.23498771482366665,0.20253164556962025
1000,0.09604326295667504,0.08373983739837398,0.2660543242763663,0.2532894736842105,0.22558226257762548,0.22771474878444084,0.41232015018933316,0.40717131474103585
