tattoo,primary,origin_year,origin_SG,origin_zone,origin_sett,origin_x,origin_y,n_loc_obs,entry_group,next_primary,next_year,dest_x,dest_y,dest_SG,dest_zone,dest_sett,observed_category,observed_distance_m
014A,40,2015,7,1,BREAKHEART,381370,201620,2,1,41,2016,381931,201706,8,1,HONEYWELL,neighbour_SG,567.5535217052221
014B,31,2006,22,1,WOODFARM,383337,200429,3,1,32,2007,383337,200429,22,1,WOODFARM,same_SG,0
014C,41,2016,22,1,WOODFARM,383337,200429,2,1,42,2017,383337,200429,22,1,WOODFARM,same_SG,0
014G,28,2003,10,1,SEPTICTANK,381357,201285,2,1,29,2004,381247,201345,10,1,HUNTINGGATE,same_SG,125.29964086141668
014L,36,2011,3,1,BEECH,380931,201164,2,1,37,2012,380834,201150,3,1,CHESNUT,same_SG,98.00510190801293
014M,43,2018,15,1,KENNEL,382464,200922,2,1,44,2019,382464,200922,15,1,KENNEL,same_SG,0
014N,34,2009,4,1,MEAD,380390,200637,2,1,35,2010,380534,200550,4,1,ARTHURS,same_SG,168.24089871371942
014N,35,2010,4,1,ARTHURS,380534,200550,2,1,36,2011,380390,200637,4,1,MEAD,same_SG,168.24089871371942
014N,36,2011,4,1,MEAD,380390,200637,1,1,37,2012,380390,200637,4,1,MEAD,same_SG,0
014P,33,2008,15,1,WYCHELM,382074,201085,2,1,34,2009,382132,201047,15,1,POPLAR,same_SG,69.33974329343886
014P,34,2009,15,1,POPLAR,382132,201047,3,1,35,2010,382074,201085,15,1,WYCHELM,same_SG,69.33974329343886
014P,35,2010,15,1,WYCHELM,382074,201085,3,1,36,2011,382464,200922,15,1,KENNEL,same_SG,422.6925596695546
014P,36,2011,15,1,KENNEL,382464,200922,2,1,37,2012,383024,201142,18,1,NETTLE,nonneighbour_SG,601.6643582596529
014Z,44,2019,3,1,CHESNUT,380834,201150,2,1,45,2020,380931,201164,3,1,BEECH,same_SG,98.00510190801293
015B,31,2006,18,1,HOLLOWTREE,382930,201326,1,1,32,2007,383024,201142,18,1,NETTLE,same_SG,206.6204249342257
015B,32,2007,18,1,NETTLE,383024,201142,3,1,33,2008,383412,200931,20,1,SCOTLANDBANK,neighbour_SG,441.6616351914665
015B,33,2008,20,1,SCOTLANDBANK,383412,200931,2,1,34,2009,383126,200958,19,1,DAM,neighbour_SG,287.2716484444645
015C,41,2016,22,1,WOODFARM,383337,200429,2,1,42,2017,383337,200429,22,1,WOODFARM,same_SG,0
